book_number,book_name,cover,authors,press,publish_year,price,score,tags
1048147,反基督,https://img3.doubanio.com/view/subject/s/public/s1035703.jpg,[德]弗里德里希·尼采,河北教育出版社,2003-9,23.70, ,尼采|哲学|宗教|德国|哲学&宗教|反基督|反基督:尼采论宗教文选|美学
1441381,现代人及其敌人,https://img3.doubanio.com/view/subject/s/public/s1461220.jpg,刘小枫,华夏出版社,2005-01-14,26.00, ,刘小枫|政治哲学|施米特|法学|哲学|政治神学|政治学|政治
1441356,The Mists of Avalon,https://img9.doubanio.com/view/subject/s/public/s1458754.jpg,:MarionZimmerBradley,Del Rey,"12 May, 1987",$17.95, ,奇幻|小说|亚瑟王|凯尔特|Avalon|阿瓦隆|英文原版|英国
1048162,畸变的媒体,https://img3.doubanio.com/view/subject/s/public/s1035713.jpg,:李希光,复旦大学出版社,2003-09,26.00, ,李希光|新闻|新闻学|传媒|新闻传播|传播学|记者|新闻界
1703525,自由空间,https://img3.doubanio.com/view/subject/s/public/s4031383.jpg,张怀存,第1版 (2005年10月1日),2005年10月1日,25.0, ,旅行|生活|人生|一个知性女人的欧洲之旅|寻找|Europe|自由空间|女性
1834583,Conversation With God,https://img9.doubanio.com/view/subject/s/public/s1691844.jpg,:LloydJohnOgilvie,Harvest House Publishers,1993-01,USD 9.99, ,信仰|基督教|conversation|思想|心理|上帝|心灵成长|灵修
3669575,自由主义、宪政主义和民主,https://img3.doubanio.com/view/subject/s/public/s3766983.jpg,:罗素哈丁,商务印书馆,2009年3月1日,33.00, ,政治学|自由主义|宪政主义|民主|政治|宪政|罗素-哈丁|民主宪政
2227791,一山走過又一山——李安·色戒·斷臂山,https://img1.doubanio.com/view/subject/s/public/s2670859.jpg,:李達翰,如果出版社,2007年09月05日,420, ,李安|电影|断背山|台灣|人物评述|色戒|電影|传记
3014239,古琴纪事图录,https://img3.doubanio.com/view/subject/s/public/s4616621.jpg,:臺北市立國樂團|鴻禧美術館,,中華民國八十九年四月,, ,古琴|艺术|音乐|琴學|琴譜|绘本|琴|趣味
4062813,加薪不加班,https://img9.doubanio.com/view/subject/s/public/s3998716.jpg,:【爱尔兰】费格斯·奥康奈尔,湛庐文化策划 中国人民大学出版社,2009.10,29.80, ,时间管理|目标与计划|湛庐文化|职场|项目管理|智慧|商业|经营管理
