book_name,english_name,author,img,publish,price,score,description
刀锋,The Razor's Edge,[英]毛姆 ,https://img3.doubanio.com/view/subject/s/public/s2347562.jpg, 上海译文出版社 , 18.00元,9.0,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
新名字的故事,Storia del nuovo cognome,[意] 埃莱娜·费兰特 ,https://img9.doubanio.com/view/subject/s/public/s29376146.jpg, 人民文学出版社 , 59.00元,9.0,探索青年时代的激情、困惑、挣扎、背叛和失去
寻路中国,Country Driving: A Journey Through China from Farm to Factory,[美] 彼得·海斯勒 ,https://img1.doubanio.com/view/subject/s/public/s4575849.jpg, 上海译文出版社 , 33.00元,9.0,《纽约客》驻北京记者驾车漫游中国大陆的经历
呐喊,,鲁迅 ,https://img3.doubanio.com/view/subject/s/public/s4696893.jpg, 人民文学出版社 , 0.36元,8.9,新文学的第一声呐喊
失踪的孩子,,[意] 埃莱娜·费兰特 ,https://img1.doubanio.com/view/subject/s/public/s29799269.jpg, 人民文学出版社 , 62.00元,9.1,我的整个生命，只是一场为了提升社会地位的低俗斗争。
乡土中国,,费孝通 ,https://img9.doubanio.com/view/subject/s/public/s1665415.jpg, 上海人民出版社 , 38.00,9.2,中国乡土社会传统文化和社会结构理论研究代表作
射雕英雄传（全四册）,,金庸 ,https://img9.doubanio.com/view/subject/s/public/s2157336.jpg, 生活·读书·新知三联书店 , 47.00元,9.0,侠之大者，为国为民
城南旧事,,林海音 文 ,https://img1.doubanio.com/view/subject/s/public/s2654869.jpg, 中国青年出版社 , 16.00元,9.0,长亭外，古道边，芳草碧连天
傲慢与偏见,Pride and Prejudice,[英] 奥斯丁 ,https://img3.doubanio.com/view/subject/s/public/s4250062.jpg, 人民文学出版社 , 13.00元,8.9,所有现代言情小说的母体
格林童话全集,Kinder-und Hausmärchen,[德国]格林兄弟 ,https://img3.doubanio.com/view/subject/s/public/s1134341.jpg, 人民文学出版社 , 21.45元,9.0,一本有教育意义的书
我与地坛,,史铁生 ,https://img1.doubanio.com/view/subject/s/public/s1151479.jpg, 春风文艺出版社 , 25.00元,9.1,这是你的罪孽与福祉
冰与火之歌,A Song of Ice and Fire,[美]乔治·R.R.马丁 ,https://img9.doubanio.com/view/subject/s/public/s27218035.jpg, 重庆出版社 , 330.00元,9.5,乔治·R·R·马丁史诗奇幻小说
黄金时代,,王小波 ,https://img3.doubanio.com/view/subject/s/public/s1076372.jpg, 花城出版社 , 19.00元,8.9,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
历史深处的忧虑,,林达 ,https://img9.doubanio.com/view/subject/s/public/s1768916.jpg, 生活·读书·新知三联书店 , 19.00元,9.0,窥见美国社会的一扇窗
无人生还,And Then There Were None,[英] 阿加莎・克里斯蒂 ,https://img3.doubanio.com/view/subject/s/public/s2962510.jpg, 人民文学出版社 , 19.00,8.9,童谣杀人案
